date,rainfall
2005-01-01,4.9057
2005-01-02,0.0
2005-01-03,9.8113
2005-01-04,14.717
2005-01-05,14.717
2005-01-06,10.2976
2005-01-07,15.4464
2005-01-08,10.2976
2005-01-09,10.2976
2005-01-10,5.1488
2005-01-11,0.0
2005-01-12,13.9833
2005-01-13,0.0
2005-01-14,13.9833
2005-01-15,27.9666
2005-01-16,35.5316
2005-01-17,17.7658
2005-01-18,44.4145
2005-01-19,8.8829
2005-01-20,8.8829
2005-01-21,24.3146
2005-01-22,24.3146
2005-01-23,0.0
2005-01-24,0.0
2005-01-25,0.0
2005-01-26,0.0
2005-01-27,17.4097
2005-01-28,17.4097
2005-01-29,26.1145
2005-01-30,8.7048
2005-01-31,17.4097
2005-02-01,7.0459
2005-02-02,14.0918
2005-02-03,14.0918
2005-02-04,7.0459
2005-02-05,28.1837
2005-02-06,24.4527
2005-02-07,16.3018
2005-02-08,8.1509
2005-02-09,16.3018
2005-02-10,32.6036
2005-02-11,19.5726
2005-02-12,19.5726
2005-02-13,19.5726
2005-02-14,0.0
2005-02-15,19.5726
2005-02-16,10.3657
2005-02-17,5.1829
2005-02-18,20.7315
2005-02-19,15.5486
2005-02-20,25.9143
2005-02-21,28.4297
2005-02-22,0.0
2005-02-23,28.4297
2005-02-24,28.4297
2005-02-25,28.4297
2005-02-26,21.1726
2005-02-27,14.1151
2005-02-28,7.0575
2005-03-01,9.1239
2005-03-02,9.1239
2005-03-03,45.6194
2005-03-04,20.8546
2005-03-05,27.3716
2005-03-06,12.2297
2005-03-07,12.2297
2005-03-08,24.4594
2005-03-09,0.0
2005-03-10,0.0
2005-03-11,0.0
2005-03-12,0.0
2005-03-13,0.0
2005-03-14,11.6339
2005-03-15,0.0
2005-03-16,3.1814
2005-03-17,6.3627
2005-03-18,6.3627
2005-03-19,15.9069
2005-03-20,9.5441
2005-03-21,17.8159
2005-03-22,17.8159
2005-03-23,17.8159
2005-03-24,17.8159
2005-03-25,17.8159
2005-03-26,0.0
2005-03-27,24.0324
2005-03-28,9.613
2005-03-29,19.226
2005-03-30,14.4195
2005-03-31,9.613
2005-04-01,19.5379
2005-04-02,9.7689
2005-04-03,9.7689
2005-04-04,9.7689
2005-04-05,9.7689
2005-04-06,0.0
2005-04-07,18.5609
2005-04-08,0.0
2005-04-09,0.0
2005-04-10,12.3739
2005-04-11,15.6292
2005-04-12,7.8146
2005-04-13,7.8146
2005-04-14,7.8146
2005-04-15,7.8146
2005-04-16,10.6603
2005-04-17,10.6603
2005-04-18,12.1833
2005-04-19,24.3665
2005-04-20,21.3207
2005-04-21,32.4339
2005-04-22,10.8113
2005-04-23,10.8113
2005-04-24,10.8113
2005-04-25,10.8113
2005-04-26,10.99
2005-04-27,5.495
2005-04-28,5.495
2005-04-29,0.0
2005-04-30,5.495
2005-05-01,7.5995
2005-05-02,0.0
2005-05-03,0.0
2005-05-04,22.7985
2005-05-05,22.7985
2005-05-06,26.7009
2005-05-07,26.7009
2005-05-08,8.9003
2005-05-09,0.0
2005-05-10,8.9003
2005-05-11,37.1705
2005-05-12,37.1705
2005-05-13,0.0
2005-05-14,0.0
2005-05-15,37.1705
2005-05-16,0.0
2005-05-17,0.0
2005-05-18,0.0
2005-05-19,0.0
2005-05-20,0.0
2005-05-21,0.0
2005-05-22,0.0
2005-05-23,22.2916
2005-05-24,0.0
2005-05-25,16.7187
2005-05-26,0.0
2005-05-27,0.0
2005-05-28,0.0
2005-05-29,0.0
2005-05-30,0.0
2005-05-31,19.6444
2005-06-01,0.0
2005-06-02,0.0
2005-06-03,29.4753
2005-06-04,29.4753
2005-06-05,14.7377
2005-06-06,33.0961
2005-06-07,33.0961
2005-06-08,0.0
2005-06-09,0.0
2005-06-10,0.0
2005-06-11,0.0
2005-06-12,33.3898
2005-06-13,33.3898
2005-06-14,33.3898
2005-06-15,44.5197
2005-06-16,0.0
2005-06-17,12.2287
2005-06-18,0.0
2005-06-19,12.2287
2005-06-20,0.0
2005-06-21,44.8924
2005-06-22,39.2809
2005-06-23,19.6404
2005-06-24,39.2809
2005-06-25,0.0
2005-06-26,0.0
2005-06-27,6.9005
2005-06-28,0.0
2005-06-29,13.801
2005-06-30,0.0
2005-07-01,0.0
2005-07-02,0.0
2005-07-03,0.0
2005-07-04,0.0
2005-07-05,0.0
2005-07-06,10.2775
2005-07-07,0.0
2005-07-08,0.0
2005-07-09,10.2775
2005-07-10,20.555
2005-07-11,36.6624
2005-07-12,9.1656
2005-07-13,0.0
2005-07-14,9.1656
2005-07-15,27.4968
2005-07-16,20.1015
2005-07-17,10.0508
2005-07-18,0.0
2005-07-19,0.0
2005-07-20,0.0
2005-07-21,0.0
2005-07-22,0.0
2005-07-23,0.0
2005-07-24,0.0
2005-07-25,0.0
2005-07-26,0.0
2005-07-27,0.0
2005-07-28,0.0
2005-07-29,0.0
2005-07-30,0.0
2005-07-31,0.0
2005-08-01,10.4821
2005-08-02,38.5964
2005-08-03,19.0205
2005-08-04,5.1716
2005-08-05,0.0
2005-08-06,6.019
2005-08-07,0.0
2005-08-08,0.0
2005-08-09,0.0
2005-08-10,0.0
2005-08-11,28.8179
2005-08-12,16.9689
2005-08-13,7.0216
2005-08-14,0.0
2005-08-15,0.0
2005-08-16,0.0
2005-08-17,4.433
2005-08-18,21.2014
2005-08-19,7.6132
2005-08-20,0.0
2005-08-21,17.8617
2005-08-22,7.0902
2005-08-23,4.6359
2005-08-24,35.8598
2005-08-25,0.0
2005-08-26,11.7045
2005-08-27,10.1778
2005-08-28,0.0
2005-08-29,0.0
2005-08-30,6.9972
2005-08-31,0.0
2005-09-01,0.0
2005-09-02,0.0
2005-09-03,0.0
2005-09-04,0.0
2005-09-05,0.0
2005-09-06,0.0
2005-09-07,0.0
2005-09-08,0.0
2005-09-09,0.0
2005-09-10,0.0
2005-09-11,0.0
2005-09-12,0.0
2005-09-13,0.0
2005-09-14,89.5906
2005-09-15,0.0
2005-09-16,0.0
2005-09-17,0.0
2005-09-18,59.1259
2005-09-19,0.0
2005-09-20,0.0
2005-09-21,54.9092
2005-09-22,54.9092
2005-09-23,0.0
2005-09-24,0.0
2005-09-25,0.0
2005-09-26,0.0
2005-09-27,0.0
2005-09-28,0.0
2005-09-29,33.4627
2005-09-30,66.9255
2005-10-01,16.6949
2005-10-02,0.0
2005-10-03,0.0
2005-10-04,0.0
2005-10-05,16.6949
2005-10-06,0.0
2005-10-07,0.0
2005-10-08,0.0
2005-10-09,29.235
2005-10-10,0.0
2005-10-11,0.0
2005-10-12,21.9929
2005-10-13,21.9929
2005-10-14,32.9893
2005-10-15,10.9964
2005-10-16,7.9908
2005-10-17,18.2647
2005-10-18,23.9724
2005-10-19,31.9632
2005-10-20,0.0
2005-10-21,29.3378
2005-10-22,22.0034
2005-10-23,36.6723
2005-10-24,22.0034
2005-10-25,0.0
2005-10-26,0.0
2005-10-27,32.8513
2005-10-28,10.9504
2005-10-29,43.8017
2005-10-30,0.0
2005-10-31,32.8513
2005-11-01,20.2406
2005-11-02,6.7469
2005-11-03,26.9875
2005-11-04,13.4938
2005-11-05,6.7469
2005-11-06,8.667
2005-11-07,26.001
2005-11-08,0.0
2005-11-09,8.667
2005-11-10,8.667
2005-11-11,23.799
2005-11-12,0.0
2005-11-13,20.8241
2005-11-14,10.4121
2005-11-15,0.0
2005-11-16,6.5847
2005-11-17,6.5847
2005-11-18,0.0
2005-11-19,19.754
2005-11-20,13.1694
2005-11-21,24.7399
2005-11-22,0.0
2005-11-23,0.0
2005-11-24,32.9866
2005-11-25,24.7399
2005-11-26,28.9701
2005-11-27,38.6268
2005-11-28,28.9701
2005-11-29,11.0362
2005-11-30,0.0
2005-12-01,18.6265
2005-12-02,21.2874
2005-12-03,9.3132
2005-12-04,18.6265
2005-12-05,18.6265
2005-12-06,13.1948
2005-12-07,4.3983
2005-12-08,17.5931
2005-12-09,13.1948
2005-12-10,13.1948
2005-12-11,8.9261
2005-12-12,8.9261
2005-12-13,8.9261
2005-12-14,26.7782
2005-12-15,22.3152
2005-12-16,9.0736
2005-12-17,9.0736
2005-12-18,12.0981
2005-12-19,6.0491
2005-12-20,6.0491
2005-12-21,14.8451
2005-12-22,7.4225
2005-12-23,14.8451
2005-12-24,0.0
2005-12-25,22.2676
2005-12-26,0.0
2005-12-27,14.9886
2005-12-28,11.2414
2005-12-29,11.2414
2005-12-30,3.7471
2005-12-31,18.7357
2006-01-01,10.0729
2006-01-02,5.0365
2006-01-03,25.1824
2006-01-04,10.0729
2006-01-05,10.0729
2006-01-06,17.9109
2006-01-07,17.9109
2006-01-08,8.9555
2006-01-09,13.4332
2006-01-10,13.4332
2006-01-11,15.6405
2006-01-12,26.0676
2006-01-13,15.6405
2006-01-14,26.0676
2006-01-15,20.8541
2006-01-16,11.6733
2006-01-17,26.6818
2006-01-18,5.8367
2006-01-19,17.51
2006-01-20,5.8367
2006-01-21,16.9744
2006-01-22,8.4872
2006-01-23,25.4616
2006-01-24,25.4616
2006-01-25,0.0
2006-01-26,5.849
2006-01-27,23.3959
2006-01-28,40.9429
2006-01-29,17.547
2006-01-30,5.849
2006-01-31,5.849
2006-02-01,7.2841
2006-02-02,14.5683
2006-02-03,7.2841
2006-02-04,14.5683
2006-02-05,7.2841
2006-02-06,45.6876
2006-02-07,0.0
2006-02-08,0.0
2006-02-09,13.1643
2006-02-10,0.0
2006-02-11,0.0
2006-02-12,0.0
2006-02-13,18.003
2006-02-14,0.0
2006-02-15,6.001
2006-02-16,23.7131
2006-02-17,15.8087
2006-02-18,23.7131
2006-02-19,7.9044
2006-02-20,15.8087
2006-02-21,21.7708
2006-02-22,21.7708
2006-02-23,10.8854
2006-02-24,21.7708
2006-02-25,16.3281
2006-02-26,28.0532
2006-02-27,18.7021
2006-02-28,18.7021
2006-03-01,13.0167
2006-03-02,0.0
2006-03-03,13.0167
2006-03-04,6.5084
2006-03-05,13.0167
2006-03-06,7.2012
2006-03-07,0.0
2006-03-08,0.0
2006-03-09,4.8008
2006-03-10,7.2012
2006-03-11,8.1665
2006-03-12,8.1665
2006-03-13,16.333
2006-03-14,0.0
2006-03-15,28.5828
2006-03-16,9.1861
2006-03-17,9.1861
2006-03-18,13.7792
2006-03-19,22.9654
2006-03-20,27.5584
2006-03-21,20.8737
2006-03-22,10.4369
2006-03-23,41.7475
2006-03-24,10.4369
2006-03-25,20.8737
2006-03-26,0.0
2006-03-27,6.4835
2006-03-28,6.4835
2006-03-29,12.967
2006-03-30,12.967
2006-03-31,12.967
2006-04-01,5.7718
2006-04-02,11.5437
2006-04-03,11.5437
2006-04-04,17.3155
2006-04-05,5.7718
2006-04-06,11.2368
2006-04-07,11.2368
2006-04-08,11.2368
2006-04-09,22.4736
2006-04-10,22.4736
2006-04-11,19.0057
2006-04-12,38.0113
2006-04-13,28.5085
2006-04-14,9.5028
2006-04-15,28.5085
2006-04-16,8.6085
2006-04-17,8.6085
2006-04-18,17.217
2006-04-19,17.217
2006-04-20,17.217
2006-04-21,7.6141
2006-04-22,22.8423
2006-04-23,22.8423
2006-04-24,15.2282
2006-04-25,30.4563
2006-04-26,18.5167
2006-04-27,9.2583
2006-04-28,9.2583
2006-04-29,9.2583
2006-04-30,10.581
2006-05-01,7.8221
2006-05-02,7.8221
2006-05-03,0.0
2006-05-04,15.6443
2006-05-05,0.0
2006-05-06,7.46
2006-05-07,7.46
2006-05-08,7.46
2006-05-09,0.0
2006-05-10,14.92
2006-05-11,17.4146
2006-05-12,34.8293
2006-05-13,17.4146
2006-05-14,0.0
2006-05-15,0.0
2006-05-16,0.0
2006-05-17,0.0
2006-05-18,0.0
2006-05-19,0.0
2006-05-20,0.0
2006-05-21,17.8496
2006-05-22,8.9248
2006-05-23,0.0
2006-05-24,8.9248
2006-05-25,0.0
2006-05-26,24.153
2006-05-27,24.153
2006-05-28,16.102
2006-05-29,8.051
2006-05-30,0.0
2006-05-31,0.0
2006-06-01,12.1651
2006-06-02,24.3303
2006-06-03,12.1651
2006-06-04,12.1651
2006-06-05,36.4954
2006-06-06,7.8824
2006-06-07,15.7649
2006-06-08,0.0
2006-06-09,0.0
2006-06-10,0.0
2006-06-11,0.0
2006-06-12,0.0
2006-06-13,0.0
2006-06-14,0.0
2006-06-15,0.0
2006-06-16,6.5054
2006-06-17,0.0
2006-06-18,0.0
2006-06-19,0.0
2006-06-20,0.0
2006-06-21,0.0
2006-06-22,7.333
2006-06-23,14.6659
2006-06-24,7.333
2006-06-25,0.0
2006-06-26,0.0
2006-06-27,0.0
2006-06-28,0.0
2006-06-29,0.0
2006-06-30,0.0
2006-07-01,0.0
2006-07-02,0.0
2006-07-03,0.0
2006-07-04,0.0
2006-07-05,0.0
2006-07-06,0.0
2006-07-07,0.0
2006-07-08,0.0
2006-07-09,0.0
2006-07-10,0.0
2006-07-11,0.0
2006-07-12,0.0
2006-07-13,6.0914
2006-07-14,0.0
2006-07-15,0.0
2006-07-16,0.0
2006-07-17,0.0
2006-07-18,0.0
2006-07-19,0.0
2006-07-20,34.6064
2006-07-21,12.9999
2006-07-22,0.0
2006-07-23,0.0
2006-07-24,0.0
2006-07-25,0.0
2006-07-26,0.0
2006-07-27,0.0
2006-07-28,0.0
2006-07-29,36.0198
2006-07-30,0.0
2006-07-31,0.0
2006-08-01,0.0
2006-08-02,0.0
2006-08-03,0.0
2006-08-04,0.0
2006-08-05,0.0
2006-08-06,0.0
2006-08-07,0.0
2006-08-08,0.0
2006-08-09,0.0
2006-08-10,0.0
2006-08-11,0.0
2006-08-12,0.0
2006-08-13,0.0
2006-08-14,0.0
2006-08-15,0.0
2006-08-16,0.0
2006-08-17,0.0
2006-08-18,0.0
2006-08-19,32.149
2006-08-20,0.0
2006-08-21,0.0
2006-08-22,0.0
2006-08-23,0.0
2006-08-24,0.0
2006-08-25,20.7383
2006-08-26,0.0
2006-08-27,0.0
2006-08-28,0.0
2006-08-29,0.0
2006-08-30,0.0
2006-08-31,0.0
2006-09-01,11.3238
2006-09-02,0.0
2006-09-03,0.0
